"Year","Make","Model","Used_Certified","Price","ConsumerRating","ConsumerReviews","SellerType","State","DealType","ComfortRating","ReliabilityRating","MinMPG","MaxMPG","FuelType","Mileage"
"2019","Honda","CR-V EX-L","Certified","34499","4.8","540","Dealer","MO","Good","4.8","4.8","27","33","Gasoline","36188"
"2019","Toyota","4Runner SR5","Used","37998","4.8","189","Dealer","LA","Good","4.8","4.9","17","21","Gasoline","37750"
"2019","Chevrolet","Impala Premier 2LZ","Used","26256","4.7","61","Dealer","WI","Fair","4.8","4.8","19","28","Gasoline","55545"
"2019","BMW","X7 xDrive50i","Used","81749","4.1","22","Dealer","IL","Fair","4.5","3.5","15","21","Gasoline","27289"
"2018","Nissan","Rogue SL","Used","21690","4.7","415","Dealer","IL","Great","4.7","4.7","25","32","Gasoline","75290"
"2021","Volkswagen","Atlas 3.6L SEL Premium","Used","47990","4.8","42","Dealer","IL","Great","4.9","4.9","16","22","Gasoline","17123"
"2020","Acura","TLX FWD","Certified","31290","4.9","32","Dealer","IL","Good","4.9","4.9","23","33","Gasoline","37033"
"2019","Toyota","4Runner Limited","Used","46079","4.8","189","Dealer","WI","Good","4.8","4.9","17","20","Gasoline","16854"
"2018","Toyota","RAV4 XLE","Used","28998","4.8","770","Dealer","IL","Good","4.8","4.9","23","30","Gasoline","17590"
"2019","Honda","Accord EX-L 1.5T","Used","20900","4.7","223","Dealer","WI","Great","4.7","4.8","30","38","Gasoline","75592"
"2020","Mercedes-Benz","GLE 350 Base 4MATIC","Used","53967","4.3","75","Dealer","IL","Good","4.6","4.1","19","26","Gasoline","31179"
"2019","BMW","330 i","Used","39597","4.9","30","Dealer","AL","Good","4.9","4.9","26","36","Gasoline","19377"
"2019","BMW","X3 M40i","Used","47997","4.7","99","Dealer","AL","Fair","4.7","4.6","20","27","Gasoline","33855"
"2021","Audi","Q3 45 S line Premium","Used","44561","5","8","Dealer","AL","Fair","5","4.9","20","28","Gasoline","12051"
"2021","Audi","Q3 45 S line Premium","Used","44591","5","8","Dealer","AL","Good","5","4.9","20","28","Gasoline","13109"
"2019","Mercedes-Benz","GLC 300 Base 4MATIC","Certified","40565","4.6","72","Dealer","KY","Good","4.8","4.6","22","27","Gasoline","19782"
"2021","BMW","X5 PHEV xDrive45e","Used","71000","4.6","5","Private","TN","NA","4.8","4.6","0","0","Plug-In Electric/Gas","10500"
"2021","Genesis","GV80 2.5T","Used","52541","4.8","19","Dealer","GA","Great","4.9","4.6","21","25","Gasoline","6914"
"2018","Audi","S5 3.0T Prestige","Used","44850","4.7","42","Dealer","MI","Fair","4.8","4.8","21","30","Gasoline","49950"
"2019","Honda","Pilot EX-L","Used","36498","4.8","223","Dealer","OH","Good","4.9","4.8","19","27","Gasoline","36790"
"2019","Mercedes-Benz","GLC 300 Base 4MATIC","Used","37500","4.6","72","Private","MI","Great","4.8","4.6","22","27","Gasoline","10662"
"2020","Chevrolet","Spark LS","Used","13989","4.7","39","Dealer","OH","Great","4.5","4.8","30","38","Gasoline","14035"
"2019","Hyundai","Elantra SE","Used","21998","4.7","132","Dealer","OH","Good","4.7","4.8","29","38","Gasoline","11326"
"2019","Hyundai","Elantra SE","Used","18997","4.7","132","Dealer","OH","Great","4.7","4.8","29","38","Gasoline","43148"
"2020","Nissan","Frontier PRO-4X","Used","38700","4.6","31","Dealer","SC","Good","4.7","4.5","17","23","Gasoline","11510"
"2018","Honda","Accord EX-L 1.5T","Used","18985","4.8","652","Dealer","NC","Great","4.8","4.8","30","38","Gasoline","87091"
"2019","Jeep","Grand Cherokee Limited","Used","35500","4.8","224","Dealer","NC","Great","4.9","4.8","18","25","Gasoline","32858"
"2019","Mazda","CX-5 Grand Touring","Used","27491","4.8","230","Dealer","FL","Great","4.8","4.8","25","31","Gasoline","23639"
"2020","Lexus","RX 350 Base","Used","47455","4.8","76","Dealer","VA","Great","4.9","4.9","19","26","Gasoline","17212"
"2020","Mazda","Mazda6 Sport","Used","30916","4.9","22","Dealer","MD","Good","5","4.9","23","31","Gasoline","35332"
"2017","Alfa","Romeo Giulia Ti","Used","29900","4.7","98","Private","MD","Great","4.6","4.4","23","31","Gasoline","22855"
"2019","Mercedes-Benz","CLA 250 Base","Certified","30495","4.1","17","Dealer","FL","Good","3.9","4.3","24","37","Gasoline","30820"
"2017","Toyota","Corolla LE","Used","13899","4.7","381","Dealer","FL","Great","4.7","4.8","28","36","Gasoline","54898"
"2019","Honda","Civic LX","Used","23845","4.9","275","Dealer","PA","Good","4.8","4.9","0","38","Gasoline","29879"
"2019","Honda","Odyssey EX-L","Certified","38310","4.6","133","Dealer","NJ","Great","4.8","4.5","19","28","Gasoline","14494"
"2019","BMW","X5 xDrive40i","Used","56998","4.7","55","Dealer","NJ","Good","5","4.6","20","26","Gasoline","18031"
"2020","Acura","ILX Premium & A-SPEC Packages","Used","30885","4.5","16","Dealer","NY","Fair","4.5","4.4","24","34","Gasoline","29085"
"2019","BMW","M550 i Xdrive","Used","44718","4.5","3","Dealer","NY","Great","5","4","18","25","Gasoline","38336"
"2019","Subaru","Forester","Certified","27977","4.7","279","Dealer","VT","Good","4.8","4.8","26","33","Gasoline","12679"
"2019","Subaru","Forester","Used","23990","4.7","279","Dealer","MA","Great","4.8","4.8","26","33","Gasoline","10460"
"2020","BMW","M4 Base","Used","72735","4.9","1","Dealer","CA","Great","5","5","18","25","Gasoline","6626"
"2019","Volkswagen","Tiguan 2.0T SE","Certified","26496","4.5","136","Dealer","CA","Great","4.6","4.5","21","29","Gasoline","28601"
"2021","Cadillac","XT6 Premium Luxury AWD","Used","59998","4.9","9","Dealer","CA","Good","4.8","5","18","25","Gasoline","10932"
"2020","Chevrolet","Blazer Premier","Used","48998","4.7","67","Dealer","CA","Good","4.8","4.8","19","26","Gasoline","11843"
"2019","Honda","CR-V EX-L","Used","29875","4.8","540","Dealer","NV","Good","4.8","4.8","28","34","Gasoline","21868"
"2019","Mercedes-Benz","C-Class C 300","Certified","33185","4.8","40","Dealer","CA","Good","4.8","4.7","23","34","Gasoline","35825"
"2018","Audi","A3 2.0T Prestige","Used","31492","4.9","34","Dealer","AZ","Fair","4.9","4.9","24","31","Gasoline","64403"
